Time,Rank,Price,BookName,Location
2019-03-17 23:01:46,51,18.99,"Top 10 Games You Can Play In Your Head, By Yourself: Second Edition",https://www.amazon.com/Games-Play-Your-Head-Yourself/dp/0998379417/
2019-03-17 23:01:46,52,28.49,SAT Prep Black Book: The Most Effective SAT Strategies Ever Published,https://www.amazon.com/SAT-Prep-Black-Book-Strategies/dp/0692916164/
2019-03-17 23:01:46,53,15.17,Barron's SAT Subject Test: Math Level 2 with Online Tests,https://www.amazon.com/Barrons-SAT-Subject-Test-Online/dp/1438011148/
2019-03-17 23:01:46,54,5.69,Romeo and Juliet (No Fear Shakespeare),https://www.amazon.com/Romeo-Juliet-No-Fear-Shakespeare/dp/1586638459/
2019-03-17 23:01:46,55,12.91,Barron's AP Statistics,https://www.amazon.com/Barrons-Statistics-Martin-Sternstein-Ph-D/dp/1438009046/
2019-03-17 23:01:46,56,33.2,Daily Coding Problem: Get exceptionally good at coding interviews by solving one problem every day,https://www.amazon.com/Daily-Coding-Problem-exceptionally-interviews/dp/1793296634/
2019-03-17 23:01:46,57,10.45,Meditations: A New Translation,https://www.amazon.com/Meditations-New-Translation-Marcus-Aurelius/dp/0812968255/
2019-03-17 23:01:46,58,27.19,GRE Prep Plus 2019: Practice Tests + Proven Strategies + Online + Video + Mobile (Kaplan Test Prep),https://www.amazon.com/GRE-Prep-Plus-2019-Strategies/dp/1506234607/
2019-03-17 23:01:46,59,4.74,The Art Of War,https://www.amazon.com/Art-War-Sun-Tzu/dp/1599869772/
2019-03-17 23:01:46,60,27.69,The Reading Strategies Book: Your Everything Guide to Developing Skilled Readers,https://www.amazon.com/Reading-Strategies-Book-Everything-Developing/dp/032507433X/
2019-03-17 23:01:46,61,13.39,Behave: The Biology of Humans at Our Best and Worst,https://www.amazon.com/Behave-Biology-Humans-Best-Worst/dp/0143110918/
2019-03-17 23:01:46,62,16.97,"Cracking the AP Chemistry Exam 2019, Premium Edition: 5 Practice Tests + Complete Content Review (College Test Preparation)",https://www.amazon.com/Cracking-Chemistry-Exam-2019-Premium/dp/0525567496/
2019-03-17 23:01:46,63,20.67,Miller's Review of Critical Vaccine Studies: 400 Important Scientific Papers Summarized for Parents and Researchers,https://www.amazon.com/Millers-Review-Critical-Vaccine-Studies/dp/188121740X/
2019-03-17 23:01:46,64,29.56,CompTIA Security+ Get Certified Get Ahead: SY0-501 Study Guide,https://www.amazon.com/CompTIA-Security-Get-Certified-Ahead/dp/1939136059/
2019-03-17 23:01:46,65,12.91,Barron's AP Biology,https://www.amazon.com/Barrons-Biology-Deborah-Goldberg-M-S/dp/1438008686/
2019-03-17 23:01:46,66,19.71,Anatomy Flashcards,https://www.amazon.com/Anatomy-Flashcards-Joanne-Tillotson/dp/1506223532/
2019-03-17 23:01:46,67,51.36,A Guide to the Project Management Body of Knowledge (PMBOK® Guide)–Sixth Edition,https://www.amazon.com/Project-Management-Knowledge-PMBOK%C2%AE-Sixth/dp/1628251840/
2019-03-17 23:01:46,68,16.34,J.K. Lasser's Your Income Tax 2019: For Preparing Your 2018 Tax Return,https://www.amazon.com/J-K-Lassers-Your-Income-2019/dp/111953271X/
2019-03-17 23:01:46,69,18.88,"Coping Skills for Kids Workbook: Over 75 Coping Strategies to Help Kids Deal with Stress, Anxiety and Anger",https://www.amazon.com/Coping-Skills-Kids-Workbook-Strategies/dp/1683731220/
2019-03-17 23:01:46,70,39.6,"Official GRE Super Power Pack, Second Edition",https://www.amazon.com/Official-Super-Power-Pack-Second/dp/1260026396/
2019-03-17 23:01:46,71,12.91,2018 / 2019 ASVAB For Dummies,https://www.amazon.com/ASVAB-Dummies-Angie-Papple-Johnston/dp/1119476283/
2019-03-17 23:01:46,72,23.11,"10 Actual, Official LSAT PrepTests Volume VI: (PrepTests 72–81)",https://www.amazon.com/10-Actual-Official-LSAT-PrepTests/dp/0998339784/
2019-03-17 23:01:46,73,33.25,"DBT® Skills Training Handouts and Worksheets, Second Edition",https://www.amazon.com/Skills-Training-Handouts-Worksheets-Second/dp/1572307811/
2019-03-17 23:01:46,74,15.63,Beekeeping For Dummies (For Dummies (Lifestyle)),https://www.amazon.com/Beekeeping-Dummies-Lifestyle-Howland-Blackiston/dp/1119310067/
2019-03-17 23:01:46,75,20.12,"The Guilt Free Gourmet 2019 Cooking Guide: The Ultimate Low Point Cooking, Ingredient and Recipe Guide",https://www.amazon.com/Guilt-Free-Gourmet-Cooking-Guide/dp/1791367054/
2019-03-17 23:01:46,76,15.63,Barron's AP U.S. Government and Politics with Online Tests,https://www.amazon.com/Barrons-Government-Politics-Online-Tests/dp/1438011687/
2019-03-17 23:01:46,77,16.94,"Ugly's Electrical References, 2017 Edition",https://www.amazon.com/Uglys-Electrical-References-Bartlett-Learning/dp/128411936X/
